Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
22012,1934.778379,1969.362508,1987.245576,2061.509669,2105.414259,2161.882607,2248.955252,2326.098681,2326.218508,2457.412239,2527.060446,2570.56464,2623.054683,2644.674668,2638.695223,2581.371213,2606.110467,2631.120935,2654.778121
22013,2287.118018,2328.073446,2371.724132,2461.079608,2518.386457,2588.190598,2697.411976,2807.88743,2827.859146,3023.90427,3126.683281,3222.928879,3290.679051,3307.562207,3238.466751,3168.113119,3202.257946,3231.844815,3266.096878
22014,516.970441,526.309534,537.3305186,557.6188305,569.57987,586.1136656,610.3806302,631.5248861,631.0124238,666.4099601,684.7942767,699.2214827,714.436844,717.2396507,704.8345493,689.5224607,699.6814976,706.552772,715.3146761
22015,3715.688989,3786.399785,3846.769066,3992.642092,4078.562721,4190.388553,4362.841821,4515.026918,4512.264979,4760.237838,4955.661346,5085.324779,5189.922951,5209.721574,5104.758626,4993.860938,5043.646337,5090.566775,5130.387149
23001,2440.544505,2527.729729,2581.228272,2691.59402,2760.410912,2858.831663,2992.454102,3116.600534,3130.250976,3475.78522,3615.436174,3742.438327,3822.967025,3843.988664,3763.633751,3681.871217,3716.808467,3750.619796,3779.532059
23002,1800.167202,1846.549013,1925.423634,2015.775468,2069.215473,2136.782188,2233.156479,2342.640567,2346.46909,2532.372551,2626.795514,2728.089779,2785.73007,2796.284316,2744.838575,2685.208712,2711.523423,2736.986557,2759.171633
23003,372.8938883,380.1534721,389.6794235,404.7817348,414.3627225,426.0884633,445.9112815,467.9775848,472.2022386,517.0536442,535.0886827,553.4960777,567.140529,571.6547159,560.4402083,548.2650008,553.0949182,557.9931106,562.1988442
23004,94.51364651,97.4045657,105.8601277,109.9511571,112.5268227,115.9550929,121.2596489,129.4030595,129.8982563,143.4844637,148.3180236,156.5515044,159.9378118,162.9381434,159.846862,156.3742905,157.7889829,159.1672985,160.3669816
23005,2766.338007,2826.556794,2882.79124,2997.579711,3074.474939,3182.063722,3353.102614,3503.252745,3513.107761,3837.402447,3985.054598,4134.341399,4218.995495,4233.561973,4149.740619,4059.590161,4097.45275,4134.205471,4168.7184
23006,968.1025707,1001.664804,1023.700095,1071.414176,1096.703221,1128.478184,1179.57356,1222.115947,1221.341576,1320.362345,1367.116078,1417.864296,1447.369178,1452.040858,1420.377511,1389.520717,1402.237774,1414.597684,1425.59353
23007,867.7601252,884.3658134,895.1464104,929.8671228,950.5249536,975.6806279,1016.149921,1052.136444,1051.564185,1136.637724,1180.154037,1214.375224,1238.616958,1243.08617,1214.912661,1188.519447,1199.073226,1209.547361,1218.720487
23008,1239.809776,1273.640101,1322.936797,1392.948028,1433.714256,1510.550437,1617.752577,1691.425801,1693.553304,1838.885262,1926.699614,2004.281328,2058.067509,2070.047856,2024.526436,1980.544898,1998.608274,2016.132124,2031.431405
23009,1007.987477,1102.070978,1178.260995,1230.96703,1259.539069,1318.882815,1404.805656,1508.782308,1544.48613,1819.001299,1897.872985,1974.018216,2136.721521,2141.144882,2096.999138,2051.443177,2087.729445,2106.283284,2122.498543
